"_source/@timestamp","_source/netflow/tcp_flags","_source/netflow/l4_src_port","_source/netflow/ipv4_dst_addr","_source/netflow/in_bytes","_source/netflow/l4_dst_port","_source/netflow/ipv4_src_addr","_source/netflow/in_pkts","Anomaly"
2018-04-05 13:12:01,0,38680,"239.255.255.250",800,1900,"192.168.1.111",4,0
2018-04-05 13:12:01,27,22,"192.168.1.102",3173,33952,"192.168.1.108",25,0
2018-04-05 13:12:01,27,33942,"192.168.1.108",2310,22,"192.168.1.102",18,1
2018-04-05 13:12:01,27,22,"192.168.1.102",3173,33962,"192.168.1.108",25,0
2018-04-05 13:12:01,27,33952,"192.168.1.108",2310,22,"192.168.1.102",18,1
2018-04-05 13:11:01,27,22,"192.168.1.102",3173,33930,"192.168.1.108",25,0
2018-04-05 13:26:01,0,443,"192.168.1.108",6026,38762,"172.217.169.110",14,0
2018-04-05 13:26:01,27,22,"192.168.1.102",3173,34290,"192.168.1.108",25,0
2018-04-05 13:26:01,0,443,"192.168.1.108",37968,46325,"172.217.169.138",35,0
2018-04-05 13:26:01,0,0,NA,152,0,NA,2,0
2018-04-05 13:26:01,0,57463,"172.217.169.98",7575,443,"192.168.1.108",20,0
2018-04-05 13:26:01,0,443,"192.168.1.108",3646,57174,"216.58.206.162",10,0
2018-04-05 13:26:01,26,443,"192.168.1.108",5663,43518,"52.222.146.180",8,0
2018-04-05 13:26:01,0,443,"192.168.1.108",2506,35832,"172.217.169.130",6,0
2018-04-05 13:26:01,27,34292,"192.168.1.108",2310,22,"192.168.1.102",18,1
